Tweet                                                       Match                                                       Polarity       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
Winnipeg Weather Getting Real Winnipeg snow Manito          []                                                          NEUTRAL        
JJCarafano They say climate because most people do          [clear]                                                     POSITIVE       
RT SHEINofficial Sweater weather is here Shop nowg          []                                                          NEUTRAL        
Good morning from northern end Central Coast NSW A          [like, good, weird]                                         POSITIVE       
RT noonvincent Weather Report                               []                                                          NEUTRAL        
RT rashidalmethen                                           []                                                          NEUTRAL        
202111141120WEEKLY WEATHER amp DIVE GIRL                    []                                                          NEUTRAL        
petefrasermusic Umbrellas are shite An utterly uns          [unsatisfactory, utterly, failed, bad, improve]             NEGATIVE       
ktstv                                                       []                                                          NEUTRAL        
hange of weather is the disco MZ66 SS35 SAR11 NAM1          []                                                          NEUTRAL        
RT moondr0p Miserable weather animal crossing               [miserable]                                                 NEGATIVE       
RT StormTrack9Dave Freeze Watch for Sunday Morning          [freeze]                                                    NEGATIVE       
Time 1031PM Temp 116C WC 94C Hum 96 Winds ENE 130           [hum]                                                       NEGATIVE       
RT stluciaweather TROPICAL WEATHER OUTLOOK The Atl          []                                                          NEUTRAL        
bf has decided we are getting rid of the Alexas in          [bitch, dumb]                                               NEGATIVE       
The Apopka Fall Family Festival is underway and we          [fall, well, great]                                         POSITIVE       
After a busy Friday we clear out for the rest of t          [clear]                                                     POSITIVE       
weather subscribe instagram cop26 song tiktok gogr          [treasure]                                                  POSITIVE       
RT fcstpauliEN Bundle up appropriately for the col          [cold]                                                      NEGATIVE       
RT groovyliz Its DOPEITSDOM weather in November             []                                                          NEUTRAL        
roneisele It did kill a rabbit and help to make th          [kill, well]                                                NEUTRAL        
MuseumShuffle Which kind of weather                         []                                                          NEUTRAL        
Beautiful Friday weather calls for an early exist           [beautiful, work]                                           POSITIVE          
EmilyRussellADK ncpr Well our favorite camp radio           [well, favorite]                                            POSITIVE       
RT ashleystorrie Getting ready to go into work for          [ready, work]                                               POSITIVE       
Happy Friyay Colorado Perfect Fall weather this we          [perfect, fall, happy]                                      POSITIVE       
Im sick of this weather out here Monday shit aint           [die, sick, shit]                                           NEGATIVE       
RT tonygoodfellow The weather might be getting col          [lucky, hot, cold]                                          POSITIVE       
London Weather as of 1030 PM 5256 F                         []                                                          NEUTRAL        
RT NBCOlympics As Team USA athletes gear up for th          []                                                          NEUTRAL        
Its a chilly evening Temperatures hover in the mid          [spotty, chilly]                                            NEGATIVE       
Yo why THE FUCK is the weather in its 80s son the           [fuck]                                                      NEGATIVE       
hange of weather is the disco MH138 R82 CTZ7563 AA          []                                                          NEUTRAL        
RT dnrtyfn Sweater Weather Fortnite Montage are ap          []                                                          NEUTRAL        
I love this The BBC news theme played by Owain and          [love, support]                                             POSITIVE       
Sweater weather Sorry I meant sweater weather               [sorry]                                                     NEGATIVE       
Artemishowl FL has the CA weather atm and Im enjoy          [enjoying]                                                  POSITIVE       
RT QueasyFN 1st Grand Royale Load Session Catty we          [grand]                                                     POSITIVE       
Happy Friday evening we hope you all enjoyed this           [proper, cold, break, enjoyed, happy]                       POSITIVE       
Hammock hangs in the great outdoors are a must Gra          [fall, cozy, great, hangs, crisp]                           POSITIVE       
iminfectious Were expecting cold weather this week          [grateful, beautiful, wonderful, cold]                      POSITIVE       
Kia ora This tweet was written by carol let me sho          [love, fine]                                                POSITIVE       
EmrysOmega we have a rainy season or at least were          [cloud, hate, sick, nice]                                   NEGATIVE       
some time ago I had a dream about a picnic it was           [like, cute, nice]                                          POSITIVE       
Under a clear sky with light winds tonight is goin          [clear]                                                     POSITIVE       
jaxbra kategabrielle Its 94 here in Long Beach tod          [tops, fall, tank, like]                                    NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Telegraph Why are children forced indoors with col          [cold]                                                      NEGATIVE       
RT SpaceX Standing down from todays launch due to           [improves, favorable]                                       POSITIVE       
RT lettershoppe The weather outside is frightful b          [delightful, frightful]                                     NEUTRAL        
Unfortunately the wet weather rules out games on o          [unfortunately]                                             NEGATIVE       
53F in Seattle w mist amp 501mph winds 93 humidity          [mist]                                                      NEGATIVE       
RT SusanaVocalist Stunning new chill out mix of We          [available, stunning, euphoria, chill]                      POSITIVE       
RT IFRCEurope The disembarkation of survivors from          []                                                          NEUTRAL        
RT SteveBowenWx Actual incurred weather climaterel          [losses, intense]                                           NEGATIVE       
Cooler weather arrives this weekend                         []                                                          NEUTRAL        
HeyTammyBruce so happy togetherhow is the weather           [happy]                                                     POSITIVE       
weather data 432 PM 351F Humidity 99 Wind 78 WNW            []                                                          NEUTRAL        
MagisterLatro We get snowstorms sometimes and the           [cold, enough, kill, nice]                                  NEUTRAL        
F1 BrazilGP WEATHER UPDATE INTERLAGOS Moisture flo          [cloudy, breaks, good, warmer]                              NEUTRAL        
Forecast map for this evening Get Maps and Radars           []                                                          NEUTRAL        
TheLeftistMom Could simply be the weather Wild flu          [wild]                                                      NEGATIVE       
NWSAtlanta Are you going to tone the Freeze Watch           [like, freeze]                                              POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
Perfect red weather today Grey and raining                  [perfect]                                                   POSITIVE       
RT catbirdandteaco sweater weather huggies are bei          []                                                          NEUTRAL        
Day 12 While Im grateful to live in a place with n          [grateful, perfect, fall, reasonable]                       POSITIVE       
RT khilanii if the weather keeps this up thanksgiv          []                                                          NEUTRAL        
3050 wild hogs strike again                                 [hogs, wild, strike]                                        NEGATIVE       
RT FOX55FortWayne Its a chilly evening Temperature          [spotty, chilly]                                            NEGATIVE       
isitokthat the UK media has reported COP26Glasgow           [bad]                                                       NEGATIVE       
RT AlviaAlcedo Last days of May and no summer feel          [cold]                                                      NEGATIVE       
The GMA woman Amy robot the woman might freeze Arc          [wow, mercy, freeze]                                        POSITIVE       
The weather today in Portland                               []                                                          NEUTRAL        
Great weather NYC you never know how it could be h          [great]                                                     POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
RT pieceofcake28 guys heartbreak weather by niall           []                                                          NEUTRAL        
RT MetOfficeSci Our global temperature dataviz by           [rapid]                                                     POSITIVE       
RT BBCBreakfast The Uists Islands are on the front          [unpredictable]                                             NEGATIVE       
RT MaryBellavita This cloudy weather has me wantin          [cloudy]                                                    NEGATIVE       
RT GuisadoPepe Segn estudios cientficos parece ser          []                                                          NEUTRAL        
WEATHER ALERT DANDRUFF WARNING FOR A JAR OF METAMU          [warning]                                                   NEGATIVE       
RT RachelNotley The pandemic isnt over We must get          [vigilant]                                                  POSITIVE       
weatherab Sending thoughts and prayers Hope you fe          [better]                                                    POSITIVE       
RT mansdnh Reminder The ChooseLoveNH bus tour come          [good]                                                      POSITIVE       
I just wanna say bless you to the rainy UK gods fo          [bless]                                                     POSITIVE       
i swear everytime i do that sweater weather diet i          [lose]                                                      NEGATIVE       
ricandess Bitch this weather worse then these nigg          [bitch, worse]                                              NEGATIVE       
Its shocking I tell ya Shocking what potholes and           [well, shocking, smooth, damaged]                           NEGATIVE       
emilybdepalma Idk about you but personally the wea          [strong, depression, worse, helping]                        NEUTRAL        
Such a joy to teach how to build trust as a leader          [trust, wonderful, perfect, joy, leading]                   POSITIVE       
Theres now a weather advisory for heavy rain amp t          [bad]                                                       NEGATIVE       
This 90 degree weather is disrespectful to say the          [disrespectful]                                             NEGATIVE       
I really was not ready for this weather change              [ready]                                                     POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Tree So Deadly Just Standing Beneath It Is Dangero          [deadly, dangerous]                                         NEGATIVE       
RT colinphoenix Due to the miserable weather I tho          [classic, genuine, cheer, miserable]                        POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
Winnipeg Weather Getting Real Winnipeg snow Manito          []                                                          NEUTRAL        
JJCarafano They say climate because most people do          [clear]                                                     POSITIVE       
RT SHEINofficial Sweater weather is here Shop nowg          []                                                          NEUTRAL        
Good morning from northern end Central Coast NSW A          [like, good, weird]                                         POSITIVE       
RT noonvincent Weather Report                               []                                                          NEUTRAL        
RT rashidalmethen                                           []                                                          NEUTRAL        
202111141120WEEKLY WEATHER amp DIVE GIRL                    []                                                          NEUTRAL        
petefrasermusic Umbrellas are shite An utterly uns          [unsatisfactory, utterly, failed, bad, improve]             NEGATIVE       
ktstv                                                       []                                                          NEUTRAL        
hange of weather is the disco MZ66 SS35 SAR11 NAM1          []                                                          NEUTRAL        
RT moondr0p Miserable weather animal crossing               [miserable]                                                 NEGATIVE       
RT StormTrack9Dave Freeze Watch for Sunday Morning          [freeze]                                                    NEGATIVE       
Time 1031PM Temp 116C WC 94C Hum 96 Winds ENE 130           [hum]                                                       NEGATIVE       
RT stluciaweather TROPICAL WEATHER OUTLOOK The Atl          []                                                          NEUTRAL        
bf has decided we are getting rid of the Alexas in          [bitch, dumb]                                               NEGATIVE       
The Apopka Fall Family Festival is underway and we          [fall, well, great]                                         POSITIVE       
After a busy Friday we clear out for the rest of t          [clear]                                                     POSITIVE       
weather subscribe instagram cop26 song tiktok gogr          [treasure]                                                  POSITIVE       
RT fcstpauliEN Bundle up appropriately for the col          [cold]                                                      NEGATIVE       
RT groovyliz Its DOPEITSDOM weather in November             []                                                          NEUTRAL        
roneisele It did kill a rabbit and help to make th          [kill, well]                                                NEUTRAL        
MuseumShuffle Which kind of weather                         []                                                          NEUTRAL        
Beautiful Friday weather calls for an early exist           [beautiful, work]                                           POSITIVE       
EmilyRussellADK ncpr Well our favorite camp radio           [well, favorite]                                            POSITIVE       
RT ashleystorrie Getting ready to go into work for          [ready, work]                                               POSITIVE       
Happy Friyay Colorado Perfect Fall weather this we          [perfect, fall, happy]                                      POSITIVE       
Im sick of this weather out here Monday shit aint           [die, sick, shit]                                           NEGATIVE       
RT tonygoodfellow The weather might be getting col          [lucky, hot, cold]                                          POSITIVE       
London Weather as of 1030 PM 5256 F                         []                                                          NEUTRAL        
RT NBCOlympics As Team USA athletes gear up for th          []                                                          NEUTRAL        
Its a chilly evening Temperatures hover in the mid          [spotty, chilly]                                            NEGATIVE       
Yo why THE FUCK is the weather in its 80s son the           [fuck]                                                      NEGATIVE       
hange of weather is the disco MH138 R82 CTZ7563 AA          []                                                          NEUTRAL        
RT dnrtyfn Sweater Weather Fortnite Montage are ap          []                                                          NEUTRAL        
I love this The BBC news theme played by Owain and          [love, support]                                             POSITIVE       
Sweater weather Sorry I meant sweater weather               [sorry]                                                     NEGATIVE       
Artemishowl FL has the CA weather atm and Im enjoy          [enjoying]                                                  POSITIVE       
RT QueasyFN 1st Grand Royale Load Session Catty we          [grand]                                                     POSITIVE       
Happy Friday evening we hope you all enjoyed this           [proper, cold, break, enjoyed, happy]                       POSITIVE       
Hammock hangs in the great outdoors are a must Gra          [fall, cozy, great, hangs, crisp]                           POSITIVE       
iminfectious Were expecting cold weather this week          [grateful, beautiful, wonderful, cold]                      POSITIVE       
Kia ora This tweet was written by carol let me sho          [love, fine]                                                POSITIVE       
EmrysOmega we have a rainy season or at least were          [cloud, hate, sick, nice]                                   NEGATIVE       
some time ago I had a dream about a picnic it was           [like, cute, nice]                                          POSITIVE       
Under a clear sky with light winds tonight is goin          [clear]                                                     POSITIVE       
jaxbra kategabrielle Its 94 here in Long Beach tod          [tops, fall, tank, like]                                    NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Telegraph Why are children forced indoors with col          [cold]                                                      NEGATIVE       
RT SpaceX Standing down from todays launch due to           [improves, favorable]                                       POSITIVE       
RT lettershoppe The weather outside is frightful b          [delightful, frightful]                                     NEUTRAL        
Unfortunately the wet weather rules out games on o          [unfortunately]                                             NEGATIVE       
RT sleepiehorror sora and the bf go to visit roxas          []                                                          NEUTRAL        
RT SteveBowenWx Actual incurred weather climaterel          [losses, intense]                                           NEGATIVE       
Cooler weather arrives this weekend                         []                                                          NEUTRAL        
HeyTammyBruce so happy togetherhow is the weather           [happy]                                                     POSITIVE       
weather data 432 PM 351F Humidity 99 Wind 78 WNW            []                                                          NEUTRAL        
MagisterLatro We get snowstorms sometimes and the           [cold, enough, kill, nice]                                  NEUTRAL        
F1 BrazilGP WEATHER UPDATE INTERLAGOS Moisture flo          [cloudy, breaks, good, warmer]                              NEUTRAL        
Forecast map for this evening Get Maps and Radars           []                                                          NEUTRAL        
TheLeftistMom Could simply be the weather Wild flu          [wild]                                                      NEGATIVE       
NWSAtlanta Are you going to tone the Freeze Watch           [like, freeze]                                              POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
Perfect red weather today Grey and raining                  [perfect]                                                   POSITIVE       
RT catbirdandteaco sweater weather huggies are bei          []                                                          NEUTRAL        
Day 12 While Im grateful to live in a place with n          [grateful, perfect, fall, reasonable]                       POSITIVE       
RT khilanii if the weather keeps this up thanksgiv          []                                                          NEUTRAL        
3050 wild hogs strike again                                 [hogs, wild, strike]                                        NEGATIVE       
RT FOX55FortWayne Its a chilly evening Temperature          [spotty, chilly]                                            NEGATIVE       
isitokthat the UK media has reported COP26Glasgow           [bad]                                                       NEGATIVE       
RT AlviaAlcedo Last days of May and no summer feel          [cold]                                                      NEGATIVE       
The GMA woman Amy robot the woman might freeze Arc          [wow, mercy, freeze]                                        POSITIVE       
The weather today in Portland                               []                                                          NEUTRAL        
Great weather NYC you never know how it could be h          [great]                                                     POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
RT pieceofcake28 guys heartbreak weather by niall           []                                                          NEUTRAL        
RT MetOfficeSci Our global temperature dataviz by           [rapid]                                                     POSITIVE       
RT BBCBreakfast The Uists Islands are on the front          [unpredictable]                                             NEGATIVE       
RT MaryBellavita This cloudy weather has me wantin          [cloudy]                                                    NEGATIVE       
RT GuisadoPepe Segn estudios cientficos parece ser          []                                                          NEUTRAL        
WEATHER ALERT DANDRUFF WARNING FOR A JAR OF METAMU          [warning]                                                   NEGATIVE       
RT RachelNotley The pandemic isnt over We must get          [vigilant]                                                  POSITIVE       
weatherab Sending thoughts and prayers Hope you fe          [better]                                                    POSITIVE       
RT mansdnh Reminder The ChooseLoveNH bus tour come          [good]                                                      POSITIVE       
I just wanna say bless you to the rainy UK gods fo          [bless]                                                     POSITIVE       
i swear everytime i do that sweater weather diet i          [lose]                                                      NEGATIVE       
ricandess Bitch this weather worse then these nigg          [bitch, worse]                                              NEGATIVE       
Its shocking I tell ya Shocking what potholes and           [well, shocking, smooth, damaged]                           NEGATIVE       
emilybdepalma Idk about you but personally the wea          [strong, depression, worse, helping]                        NEUTRAL        
Such a joy to teach how to build trust as a leader          [trust, wonderful, perfect, joy, leading]                   POSITIVE       
Theres now a weather advisory for heavy rain amp t          [bad]                                                       NEGATIVE       
This 90 degree weather is disrespectful to say the          [disrespectful]                                             NEGATIVE       
I really was not ready for this weather change              [ready]                                                     POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Tree So Deadly Just Standing Beneath It Is Dangero          [deadly, dangerous]                                         NEGATIVE       
RT colinphoenix Due to the miserable weather I tho          [classic, genuine, cheer, miserable]                        POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
Winnipeg Weather Getting Real Winnipeg snow Manito          []                                                          NEUTRAL        
JJCarafano They say climate because most people do          [clear]                                                     POSITIVE       
RT SHEINofficial Sweater weather is here Shop nowg          []                                                          NEUTRAL        
Good morning from northern end Central Coast NSW A          [like, good, weird]                                         POSITIVE       
RT noonvincent Weather Report                               []                                                          NEUTRAL        
RT rashidalmethen                                           []                                                          NEUTRAL        
202111141120WEEKLY WEATHER amp DIVE GIRL                    []                                                          NEUTRAL        
petefrasermusic Umbrellas are shite An utterly uns          [unsatisfactory, utterly, failed, bad, improve]             NEGATIVE       
ktstv                                                       []                                                          NEUTRAL        
hange of weather is the disco MZ66 SS35 SAR11 NAM1          []                                                          NEUTRAL        
RT moondr0p Miserable weather animal crossing               [miserable]                                                 NEGATIVE       
RT StormTrack9Dave Freeze Watch for Sunday Morning          [freeze]                                                    NEGATIVE       
Time 1031PM Temp 116C WC 94C Hum 96 Winds ENE 130           [hum]                                                       NEGATIVE       
RT stluciaweather TROPICAL WEATHER OUTLOOK The Atl          []                                                          NEUTRAL        
bf has decided we are getting rid of the Alexas in          [bitch, dumb]                                               NEGATIVE       
The Apopka Fall Family Festival is underway and we          [fall, well, great]                                         POSITIVE       
After a busy Friday we clear out for the rest of t          [clear]                                                     POSITIVE       
weather subscribe instagram cop26 song tiktok gogr          [treasure]                                                  POSITIVE       
RT fcstpauliEN Bundle up appropriately for the col          [cold]                                                      NEGATIVE       
RT groovyliz Its DOPEITSDOM weather in November             []                                                          NEUTRAL        
roneisele It did kill a rabbit and help to make th          [kill, well]                                                NEUTRAL        
MuseumShuffle Which kind of weather                         []                                                          NEUTRAL        
Beautiful Friday weather calls for an early exist           [beautiful, work]                                           POSITIVE       
EmilyRussellADK ncpr Well our favorite camp radio           [well, favorite]                                            POSITIVE       
RT ashleystorrie Getting ready to go into work for          [ready, work]                                               POSITIVE       
Happy Friyay Colorado Perfect Fall weather this we          [perfect, fall, happy]                                      POSITIVE       
Im sick of this weather out here Monday shit aint           [die, sick, shit]                                           NEGATIVE       
RT tonygoodfellow The weather might be getting col          [lucky, hot, cold]                                          POSITIVE       
London Weather as of 1030 PM 5256 F                         []                                                          NEUTRAL        
RT NBCOlympics As Team USA athletes gear up for th          []                                                          NEUTRAL        
Its a chilly evening Temperatures hover in the mid          [spotty, chilly]                                            NEGATIVE       
Yo why THE FUCK is the weather in its 80s son the           [fuck]                                                      NEGATIVE       
hange of weather is the disco MH138 R82 CTZ7563 AA          []                                                          NEUTRAL        
RT dnrtyfn Sweater Weather Fortnite Montage are ap          []                                                          NEUTRAL        
I love this The BBC news theme played by Owain and          [love, support]                                             POSITIVE       
Sweater weather Sorry I meant sweater weather               [sorry]                                                     NEGATIVE       
Artemishowl FL has the CA weather atm and Im enjoy          [enjoying]                                                  POSITIVE       
RT QueasyFN 1st Grand Royale Load Session Catty we          [grand]                                                     POSITIVE       
Happy Friday evening we hope you all enjoyed this           [proper, cold, break, enjoyed, happy]                       POSITIVE       
Hammock hangs in the great outdoors are a must Gra          [fall, cozy, great, hangs, crisp]                           POSITIVE       
iminfectious Were expecting cold weather this week          [grateful, beautiful, wonderful, cold]                      POSITIVE       
Kia ora This tweet was written by carol let me sho          [love, fine]                                                POSITIVE       
EmrysOmega we have a rainy season or at least were          [cloud, hate, sick, nice]                                   NEGATIVE       
some time ago I had a dream about a picnic it was           [like, cute, nice]                                          POSITIVE       
Under a clear sky with light winds tonight is goin          [clear]                                                     POSITIVE       
jaxbra kategabrielle Its 94 here in Long Beach tod          [tops, fall, tank, like]                                    NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Telegraph Why are children forced indoors with col          [cold]                                                      NEGATIVE       
RT SpaceX Standing down from todays launch due to           [improves, favorable]                                       POSITIVE       
RT lettershoppe The weather outside is frightful b          [delightful, frightful]                                     NEUTRAL        
RT sleepiehorror sora and the bf go to visit roxas          []                                                          NEUTRAL        
RT SteveBowenWx Actual incurred weather climaterel          [losses, intense]                                           NEGATIVE       
Cooler weather arrives this weekend                         []                                                          NEUTRAL        
HeyTammyBruce so happy togetherhow is the weather           [happy]                                                     POSITIVE       
weather data 432 PM 351F Humidity 99 Wind 78 WNW            []                                                          NEUTRAL        
MagisterLatro We get snowstorms sometimes and the           [cold, enough, kill, nice]                                  NEUTRAL        
F1 BrazilGP WEATHER UPDATE INTERLAGOS Moisture flo          [cloudy, breaks, good, warmer]                              NEUTRAL        
Forecast map for this evening Get Maps and Radars           []                                                          NEUTRAL        
TheLeftistMom Could simply be the weather Wild flu          [wild]                                                      NEGATIVE       
NWSAtlanta Are you going to tone the Freeze Watch           [like, freeze]                                              POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
Perfect red weather today Grey and raining                  [perfect]                                                   POSITIVE       
RT catbirdandteaco sweater weather huggies are bei          []                                                          NEUTRAL        
Day 12 While Im grateful to live in a place with n          [grateful, perfect, fall, reasonable]                       POSITIVE       
RT khilanii if the weather keeps this up thanksgiv          []                                                          NEUTRAL        
3050 wild hogs strike again                                 [hogs, wild, strike]                                        NEGATIVE       
RT FOX55FortWayne Its a chilly evening Temperature          [spotty, chilly]                                            NEGATIVE       
isitokthat the UK media has reported COP26Glasgow           [bad]                                                       NEGATIVE       
RT AlviaAlcedo Last days of May and no summer feel          [cold]                                                      NEGATIVE       
The GMA woman Amy robot the woman might freeze Arc          [wow, mercy, freeze]                                        POSITIVE       
The weather today in Portland                               []                                                          NEUTRAL        
Great weather NYC you never know how it could be h          [great]                                                     POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
RT pieceofcake28 guys heartbreak weather by niall           []                                                          NEUTRAL        
RT MetOfficeSci Our global temperature dataviz by           [rapid]                                                     POSITIVE       
RT BBCBreakfast The Uists Islands are on the front          [unpredictable]                                             NEGATIVE       
RT MaryBellavita This cloudy weather has me wantin          [cloudy]                                                    NEGATIVE       
RT GuisadoPepe Segn estudios cientficos parece ser          []                                                          NEUTRAL        
WEATHER ALERT DANDRUFF WARNING FOR A JAR OF METAMU          [warning]                                                   NEGATIVE       
RT RachelNotley The pandemic isnt over We must get          [vigilant]                                                  POSITIVE       
weatherab Sending thoughts and prayers Hope you fe          [better]                                                    POSITIVE       
RT mansdnh Reminder The ChooseLoveNH bus tour come          [good]                                                      POSITIVE       
I just wanna say bless you to the rainy UK gods fo          [bless]                                                     POSITIVE       
i swear everytime i do that sweater weather diet i          [lose]                                                      NEGATIVE       
ricandess Bitch this weather worse then these nigg          [bitch, worse]                                              NEGATIVE       
Its shocking I tell ya Shocking what potholes and           [well, shocking, smooth, damaged]                           NEGATIVE       
emilybdepalma Idk about you but personally the wea          [strong, depression, worse, helping]                        NEUTRAL        
Such a joy to teach how to build trust as a leader          [trust, wonderful, perfect, joy, leading]                   POSITIVE       
Theres now a weather advisory for heavy rain amp t          [bad]                                                       NEGATIVE       
This 90 degree weather is disrespectful to say the          [disrespectful]                                             NEGATIVE       
I really was not ready for this weather change              [ready]                                                     POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
