id,house_owner,mortgage,value,car_probability
238,,LOW,944251,1
239,OWNER,LOW,133372,8
240,RENTER,LOW,0,9
241,OWNER,LOW,0,1
242,OWNER,LOW,0,8
243,,LOW,0,9
244,RENTER,LOW,0,8
245,RENTER,LOW,141700,9
246,OWNER,High,515842,4
247,RENTER,LOW,0,8
248,,LOW,0,9
249,OWNER,High,348800,8
250,OWNER,LOW,0,6
251,RENTER,LOW,0,8
252,OWNER,LOW,296839,5
253,,LOW,0,1
254,OWNER,LOW,336232,7
255,RENTER,LOW,343235,7
256,OWNER,High,659395,1
257,RENTER,LOW,0,9
258,RENTER,LOW,0,7
259,OWNER,LOW,200908,6
260,,LOW,2186681,1
261,OWNER,Med,247212,3
262,RENTER,LOW,0,9
263,OWNER,LOW,212266,2
264,RENTER,LOW,277950,3
265,OWNER,High,477420,2
266,OWNER,LOW,106337,8
267,OWNER,LOW,133198,1
268,RENTER,LOW,0,6
269,RENTER,LOW,0,9
270,RENTER,LOW,0,5
271,,LOW,0,8
272,RENTER,LOW,0,9
273,RENTER,LOW,370600,7
274,,LOW,0,4
275,RENTER,LOW,0,7
276,RENTER,LOW,1411550,4
277,,LOW,3731887,6
278,RENTER,LOW,0,7
279,RENTER,LOW,0,7
280,RENTER,LOW,422320,1
281,RENTER,LOW,0,5
282,,LOW,494424,3
283,,LOW,0,8
284,,LOW,1778553,5
285,OWNER,LOW,108373,7
286,OWNER,LOW,354250,3
287,,LOW,0,7
288,,LOW,0,8
289,,LOW,141700,1
290,RENTER,LOW,447106,1
291,,LOW,0,7
292,OWNER,LOW,511591,6
293,,LOW,246400,8
294,OWNER,LOW,186144,6
295,OWNER,High,666121,4
296,,LOW,0,9
297,,LOW,180320,8
298,,LOW,0,3
299,OWNER,High,446355,2
300,RENTER,LOW,0,7
301,OWNER,Med,245250,1
302,RENTER,LOW,278495,5
303,,LOW,405741,5
304,RENTER,LOW,0,9
305,RENTER,LOW,0,9
306,,LOW,0,9
307,RENTER,LOW,0,6
308,OWNER,LOW,0,3
309,OWNER,LOW,264979,1
310,RENTER,LOW,250237,7
311,RENTER,LOW,714713,2
312,,LOW,0,9
313,RENTER,LOW,0,9
314,,LOW,548106,9
315,,LOW,380192,1
316,OWNER,High,515570,3
317,RENTER,LOW,221313,8
318,OWNER,LOW,70599,3
319,,LOW,0,8
320,,LOW,513880,1
321,OWNER,LOW,439978,5
322,,LOW,0,9
323,,LOW,0,8
324,RENTER,LOW,0,9
325,,LOW,0,8
326,,LOW,0,9
327,OWNER,LOW,0,5
328,,LOW,0,8
329,RENTER,LOW,0,9
330,,LOW,281132,6
331,RENTER,LOW,345793,7
332,RENTER,LOW,0,6
333,OWNER,LOW,503580,4
334,RENTER,LOW,0,8
335,OWNER,Med,283073,1
336,RENTER,LOW,0,8
337,,LOW,392400,6
338,RENTER,LOW,207481,9
339,RENTER,LOW,0,1
340,RENTER,LOW,275730,8
341,OWNER,LOW,321550,1
342,,LOW,0,8
343,OWNER,LOW,145406,3
344,RENTER,LOW,378876,1
345,RENTER,LOW,0,9
346,,LOW,0,7
347,RENTER,LOW,0,2
348,RENTER,LOW,390264,5
349,RENTER,LOW,0,9
350,OWNER,Med,391964,6
351,,LOW,0,8
352,,LOW,0,9
353,,LOW,330215,7
354,,LOW,779306,2
355,OWNER,LOW,588491,4
356,OWNER,LOW,321168,2
357,,LOW,393708,4
358,RENTER,LOW,0,9
359,RENTER,LOW,0,8
360,RENTER,LOW,200232,6
361,,LOW,469280,9
362,RENTER,LOW,0,9
363,RENTER,LOW,0,8
364,OWNER,Med,248356,2
365,RENTER,LOW,0,8
366,RENTER,LOW,0,8
367,,LOW,500640,8
368,RENTER,LOW,620342,1
369,OWNER,LOW,190902,9
370,RENTER,LOW,0,1
371,OWNER,LOW,188570,7
372,,LOW,0,9
373,OWNER,LOW,97010,3
374,RENTER,LOW,0,7
375,,LOW,0,8
376,OWNER,LOW,304600,2
377,RENTER,LOW,215918,6
378,RENTER,LOW,0,7
379,RENTER,LOW,183264,8
380,RENTER,LOW,0,8
381,,LOW,1110928,1
382,OWNER,LOW,0,8
383,RENTER,LOW,0,8
384,RENTER,LOW,0,7
385,RENTER,LOW,210888,1
386,OWNER,Med,154867,8
387,,LOW,464656,1
388,OWNER,LOW,229554,1
389,RENTER,LOW,251626,8
390,RENTER,LOW,732807,8
391,,LOW,756460,1
392,OWNER,High,735750,6
393,OWNER,Med,976912,1
394,OWNER,High,533664,6
395,OWNER,Med,260640,5
396,OWNER,High,1256225,1
397,OWNER,LOW,282582,3
398,OWNER,High,523200,3
399,OWNER,LOW,0,7
400,OWNER,High,1552846,1
401,OWNER,High,596848,1
402,OWNER,LOW,206969,1
403,OWNER,High,752100,1
404,OWNER,High,300404,1
405,OWNER,High,1340691,1
406,OWNER,High,3865140,1
407,OWNER,LOW,464677,1
408,OWNER,LOW,527385,1
409,OWNER,High,802240,5
410,RENTER,LOW,1205212,1
411,OWNER,LOW,310617,8
412,OWNER,High,397468,4
413,OWNER,LOW,1000293,1
414,OWNER,LOW,0,7
415,OWNER,High,486930,1
416,OWNER,High,807690,1
417,OWNER,LOW,554417,1
418,OWNER,High,561350,5
419,OWNER,LOW,480690,1
420,,LOW,126255,1
421,OWNER,Med,568816,1
422,RENTER,LOW,273590,1
423,OWNER,LOW,213509,8
424,OWNER,LOW,508452,1
425,OWNER,Med,234126,1
426,,LOW,0,8
427,OWNER,High,604514,1
428,OWNER,LOW,316645,6
429,OWNER,LOW,413622,1
430,OWNER,High,588055,4
431,,LOW,1364080,6
432,OWNER,High,610400,7
433,OWNER,LOW,429688,1
434,OWNER,High,593941,1
435,OWNER,LOW,825675,5
436,OWNER,High,652365,1
437,OWNER,LOW,1507993,4
438,OWNER,High,577700,8
439,OWNER,High,636411,1
440,,LOW,137744,2
441,OWNER,High,1491120,1
442,OWNER,High,864124,3
443,OWNER,LOW,5550,1
444,OWNER,Med,215535,1
445,OWNER,LOW,596186,1
446,,LOW,299750,3
447,OWNER,LOW,201791,2
448,OWNER,LOW,237075,1
449,OWNER,LOW,273764,1
450,OWNER,Med,355850,2
451,OWNER,LOW,389217,3
452,OWNER,LOW,665280,4
453,OWNER,High,633726,5
454,OWNER,LOW,202478,1
455,,LOW,4234650,1
456,OWNER,LOW,0,3
457,OWNER,High,1656800,4
458,,LOW,1408280,5
459,OWNER,LOW,1115015,1
460,OWNER,LOW,339660,2
461,OWNER,LOW,1075666,3
462,OWNER,High,434528,1
463,OWNER,Med,615239,1
464,RENTER,LOW,545945,1
465,OWNER,LOW,521565,1
466,OWNER,High,381500,7
467,OWNER,High,823168,3
468,OWNER,LOW,446900,5
469,OWNER,LOW,204102,1
470,OWNER,LOW,215275,2
471,OWNER,High,1094687,2
472,OWNER,LOW,343459,1
473,OWNER,High,421830,2
474,OWNER,LOW,246211,1
475,OWNER,Med,479643,1
476,OWNER,High,1008590,4
477,OWNER,Med,203413,1
478,OWNER,Med,431051,1
479,OWNER,LOW,546962,1
480,OWNER,LOW,539223,1
481,OWNER,LOW,643536,5
482,OWNER,LOW,0,6
483,OWNER,LOW,831670,7
484,RENTER,LOW,179108,7
485,OWNER,LOW,214250,2
486,OWNER,Med,270886,6
487,OWNER,LOW,186357,8
488,OWNER,High,354250,4
489,OWNER,High,329537,1
490,OWNER,LOW,659232,1
491,OWNER,High,1245216,3
492,OWNER,High,359700,2
493,OWNER,LOW,6495953,1
494,OWNER,High,732807,5
495,OWNER,LOW,303456,1
496,OWNER,High,636832,3
497,OWNER,LOW,190161,5
498,OWNER,LOW,627447,1
499,,LOW,0,9
500,OWNER,LOW,447336,1
501,OWNER,Med,390479,1
502,OWNER,LOW,641468,1
503,OWNER,LOW,186782,1
504,OWNER,LOW,237892,3
505,,LOW,532655,4
506,OWNER,Med,191229,2
507,OWNER,High,876360,1
508,OWNER,LOW,441384,1
509,OWNER,High,652910,3
510,OWNER,Med,535626,1
511,OWNER,LOW,0,7
512,OWNER,Med,180150,7
513,RENTER,LOW,515200,1
514,OWNER,LOW,683310,2
515,OWNER,High,332123,3
516,OWNER,High,350636,2
517,OWNER,Med,423574,1
518,OWNER,LOW,482717,1
519,OWNER,LOW,364147,3
520,OWNER,High,325365,5
521,OWNER,Med,759948,1
522,OWNER,LOW,678459,1
523,OWNER,High,428806,7
524,OWNER,LOW,293973,3
525,OWNER,LOW,451062,4
526,OWNER,LOW,754880,1
527,OWNER,LOW,307630,1
528,OWNER,Med,277950,5
529,OWNER,High,741200,5
530,OWNER,High,860555,2
531,OWNER,LOW,1013264,5
532,OWNER,LOW,352440,6
533,OWNER,LOW,0,1
534,OWNER,LOW,125829,1
535,OWNER,LOW,358400,1
536,,LOW,0,7
537,OWNER,LOW,163170,3
538,OWNER,High,416925,1
539,OWNER,LOW,1146298,3
540,OWNER,LOW,230637,1
541,OWNER,High,401130,2
542,OWNER,LOW,276097,1
543,OWNER,LOW,348037,1
544,OWNER,High,474967,1
545,OWNER,LOW,565056,2
546,OWNER,High,474150,5
547,OWNER,High,1608840,1
548,OWNER,Med,271573,2
549,OWNER,Med,348255,3
550,,LOW,0,6
551,OWNER,LOW,828829,1
552,OWNER,Med,560227,5
553,OWNER,LOW,481867,3
554,OWNER,LOW,193060,1
555,OWNER,Med,530590,1
556,OWNER,Med,170585,6
557,OWNER,High,534209,2
558,,LOW,938490,8
559,OWNER,High,675800,1
560,OWNER,High,436000,4
561,OWNER,Med,327981,4
562,OWNER,LOW,3571330,1
563,OWNER,LOW,210849,8
564,,LOW,474150,2
565,OWNER,LOW,4806845,5
566,OWNER,LOW,545523,1
567,OWNER,Med,790195,1
568,OWNER,High,755370,1
569,OWNER,Med,194565,1
570,OWNER,High,492669,5
571,,LOW,325251,1
572,OWNER,LOW,328635,2
573,OWNER,LOW,416292,1
574,OWNER,LOW,202478,4
575,OWNER,High,2821737,1
576,OWNER,LOW,259420,1
577,OWNER,LOW,0,2
578,RENTER,LOW,0,3
579,OWNER,LOW,249719,2
580,OWNER,LOW,2577032,4
581,OWNER,High,770248,1
582,OWNER,LOW,739565,2
583,OWNER,LOW,4309042,1
584,OWNER,LOW,732719,1
585,OWNER,High,599500,1
586,OWNER,High,601898,1
587,OWNER,Med,965173,1
588,OWNER,Med,420849,2
589,OWNER,LOW,288414,1
590,OWNER,High,986450,5
591,OWNER,Med,282967,4
592,OWNER,High,1727650,1
593,OWNER,LOW,263300,1
594,OWNER,High,2050835,1
595,,LOW,372289,1
596,OWNER,LOW,0,5
597,OWNER,High,657793,1
598,OWNER,LOW,432010,1
599,OWNER,High,1027023,1
600,OWNER,High,354250,2
601,OWNER,Med,402711,1
602,OWNER,Med,542493,1
603,OWNER,High,2289076,1
604,OWNER,LOW,1086762,1
605,OWNER,Med,296044,1
606,OWNER,Med,212900,8
607,OWNER,LOW,708500,6
608,OWNER,LOW,344058,1
609,OWNER,LOW,726485,5
610,OWNER,Med,309748,4
611,OWNER,High,671440,1
612,OWNER,High,515308,1
613,OWNER,High,643972,6
614,RENTER,LOW,0,2
615,OWNER,LOW,162584,2
616,,LOW,1795093,3
617,OWNER,LOW,741636,1
618,OWNER,LOW,0,3
619,OWNER,LOW,762595,3
620,OWNER,LOW,165265,1
621,OWNER,LOW,750792,5
622,OWNER,LOW,0,2
623,OWNER,LOW,880839,3
624,OWNER,High,926445,5
625,RENTER,LOW,376050,1
626,OWNER,High,264325,2
627,OWNER,LOW,163816,1
628,OWNER,High,3139200,1
629,OWNER,High,882900,1
630,OWNER,LOW,381282,1
631,OWNER,High,392400,3
632,OWNER,LOW,1077661,1
633,OWNER,High,1362500,1
634,OWNER,LOW,156469,8
635,OWNER,High,539550,6
636,OWNER,LOW,506441,1
637,OWNER,High,489955,1
638,OWNER,LOW,444720,5
639,RENTER,LOW,413110,3
640,RENTER,LOW,0,7
641,OWNER,LOW,221270,6
642,OWNER,LOW,140392,1
643,RENTER,LOW,900340,4
644,OWNER,Med,332177,1
645,OWNER,High,281329,4
646,OWNER,High,532792,1
647,OWNER,High,781366,1
648,OWNER,High,1329298,1
649,OWNER,LOW,973152,1
650,,LOW,0,4
651,OWNER,High,1759892,1
652,OWNER,LOW,658959,3
653,OWNER,LOW,222360,3
654,OWNER,High,959200,5
655,OWNER,LOW,189367,4
656,OWNER,LOW,334117,2
657,OWNER,LOW,109545,2
658,OWNER,High,648332,1
659,OWNER,LOW,177016,2
660,,LOW,0,1
661,OWNER,LOW,784582,3
662,OWNER,LOW,846494,1
663,OWNER,High,3158820,1
664,OWNER,LOW,407769,6
665,OWNER,LOW,185485,1
666,OWNER,High,781210,2
667,,LOW,0,1
668,OWNER,LOW,280696,1
669,OWNER,LOW,1271158,1
670,OWNER,High,468165,7
671,OWNER,LOW,1019150,3
672,OWNER,LOW,704521,2
673,,LOW,273372,1
674,OWNER,Med,302998,1
675,OWNER,High,1695168,1
676,OWNER,Med,651166,1
677,OWNER,LOW,621212,1
678,OWNER,High,465975,6
679,RENTER,LOW,2223600,1
680,OWNER,Med,378012,1
681,,LOW,687746,5
682,OWNER,LOW,143945,7
683,OWNER,LOW,302758,2
684,RENTER,LOW,733395,1
685,OWNER,LOW,330280,2
686,OWNER,LOW,701088,1
687,OWNER,LOW,784135,1
688,OWNER,LOW,354108,1
689,RENTER,LOW,0,2
690,OWNER,High,368311,5
691,OWNER,High,1007160,1
692,OWNER,LOW,253861,1
693,OWNER,LOW,151417,4
694,RENTER,LOW,0,1
695,OWNER,LOW,268630,3
696,OWNER,LOW,522764,1
697,,LOW,0,3
698,OWNER,High,394067,1
699,OWNER,LOW,440160,6
700,OWNER,LOW,1014681,1
701,OWNER,High,4207945,1
702,OWNER,LOW,721950,1
703,OWNER,High,356975,5
704,OWNER,Med,665990,1
705,OWNER,LOW,82070,4
706,OWNER,LOW,1167063,1
707,OWNER,LOW,205350,4
708,OWNER,High,354141,1
709,OWNER,LOW,350489,1
710,OWNER,High,374687,2
711,OWNER,High,837250,1
712,,LOW,601680,1
713,OWNER,LOW,0,1
714,OWNER,LOW,276969,3
715,OWNER,High,479589,1
716,RENTER,LOW,670670,1
717,OWNER,LOW,405054,1
718,OWNER,LOW,0,3
719,,LOW,1818937,1
720,OWNER,High,1130112,1
721,OWNER,LOW,531614,2
722,RENTER,LOW,283436,3
723,OWNER,Med,224812,2
724,OWNER,LOW,427280,1
725,OWNER,High,347165,3
726,OWNER,High,369426,1
727,OWNER,High,401120,1
728,OWNER,Med,240999,3
729,OWNER,LOW,976073,1
730,OWNER,High,732065,5
731,OWNER,LOW,533337,1
732,,LOW,3503097,3
733,OWNER,LOW,3030200,2
734,OWNER,High,347928,5
735,OWNER,Med,346620,1
736,OWNER,LOW,0,3
737,OWNER,Med,347884,1
738,OWNER,Med,253490,1
739,OWNER,LOW,190750,7
740,OWNER,LOW,611163,1
741,OWNER,LOW,738104,1
742,OWNER,LOW,382328,2
743,OWNER,Med,371210,4
744,OWNER,LOW,790489,3
745,OWNER,Med,297891,1
746,OWNER,Med,310235,1
747,,LOW,272636,1
748,OWNER,High,598083,1
749,OWNER,LOW,205693,1
750,OWNER,LOW,744688,1
751,OWNER,LOW,1087275,1
752,OWNER,LOW,581972,1
753,,LOW,284762,7
754,OWNER,LOW,1927719,1
755,OWNER,High,711225,1
756,OWNER,LOW,158050,3
757,OWNER,High,817500,1
758,OWNER,LOW,495437,2
759,OWNER,Med,226611,3
760,OWNER,High,2469831,1
761,OWNER,High,654000,1
762,OWNER,High,1068723,1
763,OWNER,LOW,942250,1
764,OWNER,LOW,321550,2
765,OWNER,High,457800,2
766,OWNER,High,831234,1
767,RENTER,LOW,340276,6
768,OWNER,LOW,218000,2
769,OWNER,High,367003,1
770,OWNER,LOW,206661,3
771,OWNER,LOW,898323,1
772,OWNER,LOW,761910,1
773,OWNER,High,586638,1
774,OWNER,LOW,2145120,1
775,OWNER,High,385642,1
776,OWNER,LOW,819135,1
777,OWNER,LOW,374359,1
778,RENTER,LOW,1401092,4
779,OWNER,LOW,425873,2
780,OWNER,Med,154507,4
781,OWNER,LOW,456579,1
782,OWNER,LOW,344329,1
783,OWNER,High,442234,1
784,OWNER,LOW,1438080,4
785,OWNER,LOW,527483,2
786,,LOW,1912405,1
787,OWNER,LOW,266178,5
788,OWNER,High,274124,1
789,,LOW,4054276,3
790,OWNER,Med,352070,2
791,RENTER,LOW,896981,5
792,OWNER,Med,168732,2
793,OWNER,LOW,243397,4
794,OWNER,Med,389130,1
795,OWNER,High,334630,1
796,RENTER,LOW,0,3
797,OWNER,High,538405,1
798,OWNER,High,613288,1
799,OWNER,LOW,345802,1
800,OWNER,LOW,236682,5
801,OWNER,LOW,1481473,2
802,RENTER,LOW,2888500,1
803,OWNER,High,1212919,1
804,OWNER,High,708500,1
805,OWNER,LOW,351416,3
806,OWNER,High,456383,1
807,OWNER,LOW,125023,2
808,OWNER,High,560369,1
809,OWNER,LOW,314130,1
810,OWNER,LOW,0,8
811,OWNER,LOW,440360,7
812,OWNER,LOW,337987,1
813,OWNER,LOW,483316,1
814,OWNER,LOW,667080,1
815,RENTER,LOW,2000000,1
816,OWNER,LOW,1068123,4
817,OWNER,High,699780,1
818,OWNER,High,553830,1
819,OWNER,Med,635513,1
820,OWNER,High,485268,1
821,OWNER,LOW,1172196,1
822,OWNER,Med,239458,3
823,OWNER,LOW,229881,7
824,RENTER,LOW,0,1
825,OWNER,High,987278,1
826,RENTER,LOW,4780740,4
827,OWNER,High,457538,1
828,OWNER,Med,279139,1
829,OWNER,Med,304404,1
830,OWNER,LOW,0,3
831,RENTER,LOW,0,2
832,OWNER,LOW,239800,4
833,,LOW,2500000,4
834,RENTER,LOW,195485,4
835,OWNER,LOW,463250,1
836,OWNER,LOW,176580,2
837,OWNER,High,281409,7
838,OWNER,LOW,280936,2
839,RENTER,LOW,578899,7
840,OWNER,High,460525,1
841,OWNER,LOW,1804549,6
842,OWNER,LOW,462705,1
843,OWNER,High,311740,1
844,OWNER,Med,685326,1
845,OWNER,LOW,0,2
846,OWNER,Med,448426,1
847,,LOW,618313,3
848,OWNER,Med,236355,6
849,OWNER,High,670132,1
850,OWNER,LOW,225891,5
851,OWNER,LOW,521663,4
852,OWNER,LOW,270265,2
853,OWNER,LOW,201650,6
854,RENTER,LOW,421830,2
855,OWNER,LOW,560914,1
856,RENTER,LOW,0,4
857,OWNER,LOW,0,2
858,OWNER,LOW,469081,1
859,OWNER,High,524769,1
860,RENTER,LOW,0,1
861,OWNER,Med,447957,1
862,,LOW,0,2
863,OWNER,Med,599739,3
864,OWNER,LOW,0,6
865,OWNER,LOW,618520,8
866,OWNER,High,792648,3
867,OWNER,High,920134,1
868,OWNER,LOW,0,8
869,OWNER,LOW,1391199,1
870,OWNER,High,424010,1
871,OWNER,LOW,373368,1
872,OWNER,LOW,257806,2
873,OWNER,High,540531,6
874,OWNER,LOW,853197,1
875,OWNER,LOW,242995,6
876,,LOW,2000000,4
877,OWNER,High,305200,1
878,OWNER,LOW,423574,6
879,OWNER,LOW,382982,1
880,OWNER,LOW,329125,1
881,OWNER,LOW,439957,1
882,OWNER,LOW,424685,4
883,OWNER,High,585207,1
884,OWNER,LOW,484134,5
885,OWNER,LOW,336537,2
886,OWNER,High,773900,2
887,OWNER,Med,1007530,1
888,,LOW,556684,2
889,OWNER,Med,495950,5
890,OWNER,LOW,558973,1
891,OWNER,Med,259740,1
892,OWNER,LOW,855541,6
893,OWNER,LOW,1355349,1
894,OWNER,LOW,410058,2
895,OWNER,LOW,221902,4
896,OWNER,LOW,221280,1
897,OWNER,LOW,670915,4
898,OWNER,LOW,0,8
899,OWNER,High,1246742,5
900,OWNER,LOW,1323641,4
901,OWNER,High,510256,1
902,OWNER,Med,1022038,2
903,OWNER,LOW,858702,1
904,OWNER,High,365095,1
905,OWNER,LOW,812894,1
906,OWNER,High,351034,2
907,OWNER,High,671396,1
908,OWNER,LOW,0,4
909,OWNER,Med,372780,2
910,OWNER,LOW,211732,2
911,OWNER,LOW,187044,1
912,OWNER,High,3668395,1
913,OWNER,LOW,654250,1
914,OWNER,High,1919435,1
915,OWNER,Med,271410,1
916,OWNER,LOW,1700400,1
917,OWNER,LOW,971299,3
918,OWNER,High,1084550,1
919,OWNER,LOW,0,4
920,OWNER,LOW,205029,1
921,OWNER,LOW,535833,2
922,OWNER,High,660812,1
923,RENTER,LOW,0,2
924,OWNER,LOW,416925,6
925,RENTER,LOW,288334,2
926,OWNER,LOW,357694,1
927,OWNER,LOW,152512,5
928,RENTER,LOW,908242,1
929,OWNER,High,236094,4
930,RENTER,LOW,1395200,1
931,OWNER,High,525325,1
932,OWNER,High,1115015,1
933,OWNER,High,542275,3
934,OWNER,High,428227,1
935,OWNER,High,647705,1
936,OWNER,LOW,303946,5
937,OWNER,LOW,487213,1
938,OWNER,Med,155870,8
939,OWNER,LOW,264379,4
940,OWNER,LOW,195120,5
941,OWNER,High,433325,1
942,OWNER,Med,179850,2
943,OWNER,LOW,281940,1
944,OWNER,High,849655,1
